asset_tag,request_by,request_dt,approve_by,approve_dt,source,destination,load_dt,unload_dt
PJ001,malcom,2005-02-18,inara,2005-02-20,M0A,G001,2005-02-21,2005-02-23
PJ006,river,2006-01-20,shepherd,2006-01-22,M0A,G001,2006-01-24,2006-01-27
PJ006,zoe,2006-10-13,shepherd,2006-10-13,G001,HQ,2006-10-13,2006-10-15
PJ006,malcom,2007-02-16,inara,2007-02-17,HQ,G001,2007-02-18,2007-02-19
PJ003,river,2008-04-11,simon,2008-04-13,M0A,M0B,2008-04-14,2008-04-16
PJ001,jayne,2008-09-26,inara,2008-09-28,G001,M0A,2008-09-28,2008-10-01
PJ006,malcom,2008-10-31,inara,2008-11-01,G001,HQ,2008-11-01,2008-11-03
PJ005,malcom,2009-02-27,simon,2009-02-28,M0A,P4OM,2009-02-28,2009-03-02
PJ004,jayne,2009-04-03,simon,2009-04-05,M0A,DC,2009-04-06,2009-04-08
PJ002,zoe,2010-01-15,inara,2010-01-17,M0A,HQ,2010-01-17,2010-01-20
PJ004,jayne,2011-03-25,kaylee,2011-03-26,DC,P4OM,2011-03-27,2011-03-29
PJ003,river,2011-04-29,wash,2011-04-30,M0B,G001,2011-04-30,2011-05-02
PJ006,zoe,2011-06-24,inara,2011-06-26,HQ,M0G,2011-06-27,2011-06-30
PJ005,malcom,2012-10-12,shepherd,2012-10-13,P4OM,M0G,2012-10-14,2012-10-15
PJ006,river,2013-05-31,kaylee,2013-06-01,M0G,M0B,2013-06-01,2013-06-03
PJ003,zoe,2013-07-05,wash,2013-07-08,G001,M0G,2013-07-09,2013-07-11
PJ003,river,2014-01-03,simon,2014-01-05,M0G,G001,2014-01-06,2014-01-08
PJ004,zoe,2014-04-04,simon,2014-04-05,P4OM,M0G,2014-04-07,2014-04-09
PJ001,malcom,2014-05-23,kaylee,2014-05-24,M0A,P4OM,2014-05-26,2014-05-28
PJ001,river,2014-05-30,inara,2014-05-31,P4OM,G001,2014-06-02,2014-06-04
PJ004,jayne,2014-08-15,wash,2014-08-18,M0G,M0A,2014-08-19,2014-08-21
PJ002,jayne,2014-09-19,shepherd,2014-09-21,HQ,M0B,2014-09-21,2014-09-22
PJ003,jayne,2014-12-05,shepherd,2014-12-06,G001,HQ,2014-12-06,2014-12-08
PJ003,malcom,2015-04-10,wash,2015-04-11,HQ,P4OM,2015-04-11,2015-04-12
PJ003,malcom,2015-05-22,inara,2015-05-24,P4OM,HQ,2015-05-24,2015-05-26
PJ004,jayne,2016-10-07,kaylee,2016-10-08,M0A,M0G,2016-10-09,2016-10-11
PJ002,log,2017-03-15,fac,2017-03-15,M0A,M0B,2017-03-14,2017-03-18
